observation_id,quality_grade,captive,taxon_name,taxon_rank,taxon_id,observations_count,conservation_status,threatened,endemic,introduced,iconic_taxa,taxon_common_name,created_at,observed_on,time_observed_at,uri,user_login,user_name,user_created_at,user_site_id,user_observations_count,longitude,latitude,geoprivacy,country_name,state_name
260441923,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-02-02T20:40:05-03:00,2025-02-02,2025-02-02T20:35:14-03:00,https://www.inaturalist.org/observations/260441923,guillemoreno,NA,2023-06-08T07:16:48+00:00,iNaturalist,14,-56.225575,-34.8216383333,NA,Uruguay,Montevideo
260439135,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-02-02T20:09:34-03:00,2025-02-02,2025-02-02T20:05:18-03:00,https://www.inaturalist.org/observations/260439135,martinro_54,Martinro 54,2024-04-20T23:25:52+00:00,NA,152,-55.2179336389,-34.3468436944,NA,Uruguay,Lavalleja
260388556,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-02-02T12:34:27-03:00,2025-02-02,2025-02-02T11:57:50-03:00,https://www.inaturalist.org/observations/260388556,msilvera,Mauricio Silvera,2019-04-25T02:21:56+00:00,NaturalistaUY,3746,-57.6170666667,-30.2285833333,NA,Uruguay,Artigas
260182606,research,FALSE,Musoniella argentina,species,750686,8,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-31T16:32:34-03:00,2019-07-27,2019-07-27T14:17:00-03:00,https://www.inaturalist.org/observations/260182606,elbeltrocco,Eduardo Luis Beltrocco,2018-09-13T15:20:24+00:00,ArgentiNat,32607,-58.3560037,-33.1633255,NA,Uruguay,NA
260176756,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-31T15:26:00-03:00,2025-01-31,2025-01-31T07:00:00-03:00,https://www.inaturalist.org/observations/260176756,jelissalde,Julia Elissalde,2023-09-28T17:52:56+00:00,NaturalistaUY,470,-56.324457787,-34.86916099,NA,Uruguay,Montevideo
260082528,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-30T16:24:56-03:00,2025-01-29,2025-01-29T20:02:13-03:00,https://www.inaturalist.org/observations/260082528,icebearpaul04,Pablo Berrondo,2023-11-18T22:20:07+00:00,NaturalistaUY,605,-56.1990111111,-34.8587527778,NA,Uruguay,Montevideo
260052860,needs_id,FALSE,Mantidae,family,48111,376336,NA,FALSE,FALSE,FALSE,Insecta,Mantids,2025-01-30T09:49:08-03:00,2025-01-29,2025-01-29T14:21:56-03:00,https://www.inaturalist.org/observations/260052860,juan_semperena,Juan Pablo Semperena,2024-08-29T15:30:09+00:00,NaturalistaUY,71,-55.2309563756,-34.3804984272,NA,Uruguay,Lavalleja
260015250,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-29T21:40:06-03:00,2025-01-29,NA,https://www.inaturalist.org/observations/260015250,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.1985377967,-34.8613004626,NA,Uruguay,Montevideo
259987239,research,FALSE,Brunneria subaptera,species,748850,144,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Stick Mantis,2025-01-29T16:20:18-03:00,2025-01-29,2025-01-29T15:35:40-03:00,https://www.inaturalist.org/observations/259987239,piero33729,Piero Larralde Vassallo,2024-12-23T22:31:21+00:00,NA,2,-55.2760811895,-34.868325291,NA,Uruguay,Maldonado
259723466,needs_id,FALSE,Coptopteryx,genus,539099,2951,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-01-27T00:14:54-03:00,2025-01-25,2025-01-25T00:11:00-03:00,https://www.inaturalist.org/observations/259723466,alvarez78,NA,2023-05-16T18:17:57+00:00,NaturalistaUY,1218,-57.6993809412,-33.2130997652,NA,Uruguay,Soriano
